,E,Time,number_of_basis_states
0,2.8735156437040885,1.6514938889999997,4.0
1,2.613503838241506,0.0042619480000003485,8.0
2,2.5448068803315524,0.015915996000000376,12.0
3,2.769862189440782,0.043320465999999946,16.0
4,2.501573384539708,0.09995596699999965,20.0
5,2.730165993506709,0.20047189199999993,24.0
6,2.473046260825315,0.37244303499999987,28.0
7,2.7077995122216234,0.6438490149999998,32.0
8,2.4486108048570303,1.0603277689999997,36.0
9,2.696655152435861,1.6964876599999998,40.0
10,2.4245323826382172,2.5354395709999995,44.0
11,2.6942293823143317,3.7516491629999997,48.0
12,2.6847366904798036,5.534630551000001,52.0
13,2.6791157075615724,8.070001384000001,56.0
