,E,Time,conv,number_of_basis_states
0,0.6304427598140301,1.6572435989999996,122.0,4.0
1,0.34051888308186395,0.05442329700000004,150.0,8.0
2,0.07585128345471737,0.21534850299999997,175.0,12.0
3,-0.18094549077898447,0.6143338690000002,197.0,16.0
4,-0.43779925794179464,1.4521836449999999,219.0,20.0
5,-0.6994459965428554,2.9776204249999996,240.0,24.0
6,-0.9690642917717933,5.455063838000001,261.0,28.0
7,-1.2492889125920783,9.733085052,282.0,32.0
8,-1.5422599928764087,16.037997804,303.0,36.0
9,-1.8499916897926418,26.033403019000005,325.0,40.0
10,-2.1744045817519355,40.272456866,346.0,44.0
11,-2.5173702564325526,59.96593651300002,368.0,48.0
12,-2.8808237043136327,87.102606216,391.0,52.0
13,-3.2667499067584505,122.984267429,413.0,56.0
