,E,Time,conv,number_of_basis_states
0,2.05910097689172,0.027599398999996083,499.0,4.0
1,,0.1718679370000018,499.0,8.0
2,,0.5948615020000716,499.0,12.0
3,,1.5125731050000013,499.0,16.0
4,,3.1542488979999916,499.0,20.0
5,,5.986134453999966,499.0,24.0
6,,10.565968652000038,499.0,28.0
7,,17.83772263500009,499.0,32.0
8,,27.684555336000017,499.0,36.0
9,,42.38141836199998,499.0,40.0
10,,62.87106483699995,499.0,44.0
11,,81.21208666300004,499.0,48.0
12,,109.47854647899999,499.0,52.0
13,,148.69928861799985,499.0,56.0
