,E,Time,number_of_basis_states
0,2.779870139437895,0.0015156729999999952,4.0
1,2.6689098430368703,0.05223918100000002,8.0
2,2.6216984633783422,0.35860646500000004,12.0
3,2.5929669101135326,0.6646710490000001,16.0
4,2.572787788317838,1.2910473930000004,20.0
5,2.5574542805290066,2.4489749880000002,24.0
6,2.5452052751652605,4.385571298,28.0
7,2.535075507998857,7.530702223999999,32.0
8,2.526482734031444,10.777116196999998,36.0
9,2.519050645483632,15.80544497,40.0
10,2.5125229891794048,23.38403359,44.0
11,2.5067179662773325,32.869314754,48.0
12,2.501502268502788,45.91991734599999,52.0
13,2.4967754487302205,61.883168015999985,56.0
