,E,Time,conv,number_of_basis_states
0,2.7810477713915933,1.628249717,48.0,4.0
1,2.709823621358786,0.020237117000000193,51.0,8.0
2,2.6696315370576227,0.0696789579999999,51.0,12.0
3,2.642440088661582,0.1852709749999999,52.0,16.0
4,2.6222513245287757,0.38553776000000006,52.0,20.0
5,2.6063801810314065,0.7311367570000002,51.0,24.0
6,2.593410747791271,1.2572805589999998,51.0,28.0
7,2.58251083904022,2.135745987,51.0,32.0
8,2.5731537147797923,3.2385059919999994,51.0,36.0
9,2.5649863440646663,4.895277729,51.0,40.0
10,2.5577612349065273,6.9203308880000005,51.0,44.0
11,2.551299057206517,9.774453594999997,51.0,48.0
12,2.5454657321861127,13.533128811999994,51.0,52.0
13,2.54015875231358,18.174111763,51.0,56.0
14,2.5352980923335604,23.721039098999995,51.0,60.0
15,2.53082017532841,31.524815735999994,51.0,64.0
16,2.5266737188628237,38.957584931,51.0,68.0
17,2.522816803296339,48.81011042,51.0,72.0
18,2.5192147571449977,60.069950852000034,51.0,76.0
19,2.5158386014818523,72.51422810000003,50.0,80.0
20,2.5126638900386054,86.89013798900004,50.0,84.0
21,2.509669821544633,104.48333131699997,50.0,88.0
22,2.506838562831079,123.572663519,50.0,92.0
23,2.504154718047,148.36732625900004,50.0,96.0
