,E,Time,conv,number_of_basis_states
0,0.6304427548626055,0.0026548050009296276,37.0,4.0
1,0.340518876647932,0.01911473000291153,47.0,8.0
2,0.07585127728690466,0.07465723799759871,55.0,12.0
3,-0.1809454981903802,0.21859371599930455,63.0,16.0
4,-0.43779926603672226,0.5022618309994868,71.0,20.0
5,-0.6994460051961906,1.0516305829987687,78.0,24.0
6,-0.9690643016631006,1.9937951829997473,86.0,28.0
7,-1.2492889229464077,3.6347185080012423,93.0,32.0
8,-1.5422600045615678,6.112934140997822,101.0,36.0
9,-1.8499917012060028,9.707054520000383,108.0,40.0
10,-2.174404594821776,15.268941045000247,116.0,44.0
11,-2.5173702695815785,20.939005684998847,123.0,48.0
12,-2.8808237176976568,30.747936862000643,131.0,52.0
13,-3.2667499215992173,43.639413381999475,139.0,56.0
14,-3.6772242842586795,59.94820008800161,147.0,60.0
15,-4.114438148227867,84.53170176799904,156.0,64.0
16,-4.58072256329162,109.04946465199828,164.0,68.0
17,-5.078571784001665,143.55986386699806,173.0,72.0
18,-5.610666896039565,184.97332749199995,182.0,76.0
19,-6.17989997337528,237.756876716001,191.0,80.0
20,-6.78939879913147,296.9297035189993,200.0,84.0
21,-7.442551988712378,374.0107467989983,210.0,88.0
22,-8.143034123255443,461.56273951899857,220.0,92.0
23,-8.894830292553234,579.3071354489985,230.0,96.0
