,E,Time,number_of_basis_states
0,0.6355484735755977,0.001460241999999945,4.0
1,0.1455588053918956,0.04361131600000001,8.0
2,-0.2586978093762429,0.36756740500000007,12.0
3,-0.6287451883847301,0.6189639470000001,16.0
4,-0.9802475367948832,1.171698131,20.0
5,-1.3201678010804179,2.1717513420000003,24.0
6,-1.6522157908557389,3.853042714,28.0
7,-1.9785984834442043,6.437051652999999,32.0
8,-2.3007315942999202,10.266273423,36.0
9,-2.619574838556788,15.533776053,40.0
10,-2.935806997996002,22.621538200000003,44.0
11,-3.2499246042890597,32.190507016999995,48.0
12,-3.5623009751365746,44.686449425000006,52.0
13,-3.8732232607368933,60.27176586599998,56.0
14,-4.182916624161082,79.758944692,60.0
15,-4.491560553838277,104.97295883999999,64.0
16,-4.799300182349524,134.03170024799994,68.0
17,-5.106254333332909,168.90185311699997,72.0
18,-5.41252136480693,211.33724569599997,76.0
19,-5.718183492183172,262.631194357,80.0
20,-6.023310039853495,320.62701809300006,84.0
21,-6.327959923266513,389.2971241800001,88.0
22,-6.632183568884605,466.686203,92.0
23,-6.936024417218342,560.6997609789996,96.0
